2023-12-27 21:12:100 INFO  ManageBrowser :30 - launching chrome browser
2023-12-27 21:12:485 INFO  Homepage :34 - click on signUpLink [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> css selector: a[href='/login']]
2023-12-27 21:12:632 INFO  Homepage :38 - Verify new user signup New User Signup!
2023-12-27 21:12:718 INFO  LoginPage :106 - Enter email [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[2]]
2023-12-27 21:12:02 INFO  LoginPage :111 - Enter password [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[3]]
2023-12-27 21:12:171 INFO  LoginPage :117 - click on signUpLink [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> xpath: //button[contains(text(),'Signup')]]
2023-12-27 21:12:229 INFO  LoginPage :120 - Verify Enter account text [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> xpath: //b[contains(text(),'Enter Account Information')]]
2023-12-27 21:12:627 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:676 INFO  LoginPage :135 - Enter password [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> xpath: //input[@id='password']]
2023-12-27 21:12:936 INFO  LoginPage :139 - Enter Day [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> id: days]
2023-12-27 21:12:147 INFO  LoginPage :144 - Enter month [[ChromeDriver: chrome on windows (28d583bba4f86dbb1fda95986f6d40aa)] -> xpath: //select[@id='months']]
2023-12-27 21:12:903 INFO  ManageBrowser :30 - launching chrome browser
2023-12-27 21:12:637 INFO  Homepage :34 - click on signUpLink [[ChromeDriver: chrome on windows (f9629a6dc942c60ff74b2eef73dba825)] -> css selector: a[href='/login']]
2023-12-27 21:12:822 INFO  Homepage :38 - Verify new user signup New User Signup!
2023-12-27 21:12:956 INFO  LoginPage :106 - Enter email [[ChromeDriver: chrome on windows (f9629a6dc942c60ff74b2eef73dba825)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[2]]
2023-12-27 21:12:426 INFO  LoginPage :111 - Enter password [[ChromeDriver: chrome on windows (f9629a6dc942c60ff74b2eef73dba825)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[3]]
2023-12-27 21:12:634 INFO  LoginPage :117 - click on signUpLink [[ChromeDriver: chrome on windows (f9629a6dc942c60ff74b2eef73dba825)] -> xpath: //button[contains(text(),'Signup')]]
2023-12-27 21:12:763 INFO  LoginPage :120 - Verify Enter account text [[ChromeDriver: chrome on windows (f9629a6dc942c60ff74b2eef73dba825)] -> xpath: //b[contains(text(),'Enter Account Information')]]
2023-12-27 21:12:933 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:61 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:230 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:390 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:614 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:544 INFO  ManageBrowser :30 - launching chrome browser
2023-12-27 21:12:933 INFO  Homepage :34 - click on signUpLink [[ChromeDriver: chrome on windows (2634431385d6d1ef967cc0947252a215)] -> css selector: a[href='/login']]
2023-12-27 21:12:172 INFO  Homepage :38 - Verify new user signup New User Signup!
2023-12-27 21:12:277 INFO  LoginPage :106 - Enter email [[ChromeDriver: chrome on windows (2634431385d6d1ef967cc0947252a215)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[2]]
2023-12-27 21:12:598 INFO  LoginPage :111 - Enter password [[ChromeDriver: chrome on windows (2634431385d6d1ef967cc0947252a215)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[3]]
2023-12-27 21:12:592 INFO  LoginPage :117 - click on signUpLink [[ChromeDriver: chrome on windows (2634431385d6d1ef967cc0947252a215)] -> xpath: //button[contains(text(),'Signup')]]
2023-12-27 21:12:794 INFO  LoginPage :120 - Verify Enter account text [[ChromeDriver: chrome on windows (2634431385d6d1ef967cc0947252a215)] -> xpath: //b[contains(text(),'Enter Account Information')]]
2023-12-27 21:12:708 INFO  ManageBrowser :30 - launching chrome browser
2023-12-27 21:12:672 INFO  Homepage :34 - click on signUpLink [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> css selector: a[href='/login']]
2023-12-27 21:12:793 INFO  Homepage :38 - Verify new user signup New User Signup!
2023-12-27 21:12:873 INFO  LoginPage :106 - Enter email [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[2]]
2023-12-27 21:12:54 INFO  LoginPage :111 - Enter password [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //body/section[@id='form']/div[1]/div[1]/div[3]/div[1]/form[1]/input[3]]
2023-12-27 21:12:66 INFO  LoginPage :117 - click on signUpLink [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //button[contains(text(),'Signup')]]
2023-12-27 21:12:170 INFO  LoginPage :120 - Verify Enter account text [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //b[contains(text(),'Enter Account Information')]]
2023-12-27 21:12:307 INFO  LoginPage :130 - Selecting radio button against Mrs.
2023-12-27 21:12:332 INFO  LoginPage :135 - Enter password [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //input[@id='password']]
2023-12-27 21:12:463 INFO  LoginPage :139 - Enter Day [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //select[@id='days']]
2023-12-27 21:12:593 INFO  LoginPage :144 - Enter month [[ChromeDriver: chrome on windows (0c916a16c127f92534b8f965ac37ef61)] -> xpath: //select[@id='months']]
2023-12-27 23:12:846 INFO  ManageBrowser :30 - launching chrome browser
